None,content_type,title,director,cast,country,date_added,release_year,rating,duration,genres,description,date_added_formatted
s2808,TV Show,shaun the sheep: adventures from mossy bottom,none,"john sparkes, justin fletcher, marcus brigstocke, simon greenall, kate harbour, emma tate, andy nyman, richard webber","uk, usa, ireland",2020-03-17,2020,tv-y7,1 Season,"british tv shows, kids' tv, tv comedies","Clever sheep Shaun, loyal dog Bitzer and the rest of the Mossy Bottom gang cook up oodles of fun and mischief on the farm.",17-03-2020
s2809,TV Show,we speak dance,none,vandana hart,usa,2020-03-17,2018,tv-ma,1 Season,docuseries,Trained dancer Vandana Hart travels the world to learn traditional and urban dance styles from the local experts who know them best.,17-03-2020
s2810,Movie,search party,scot armstrong,"t.j. miller, adam pally, thomas middleditch, lance reddick, shannon woodward, alison brie, krysten ritter, jason mantzoukas",usa,2020-03-16,2014,r,1h 33m,comedies,"Two guys hope to reunite their friend with his runaway bride, unaware that he's been carjacked, stripped and stranded in the Mexican desert.",16-03-2020
s2811,Movie,bypass road,naman nitin mukesh,"neil nitin mukesh, adah sharma, rajit kapoor, gul panag, shama sikander, manish chaudhary, sudhanshu pandey, taher shabbir",india,2020-03-15,2019,tv-14,2h 15m,"international movies, thrillers","On the night his ex-lover mysteriously dies, a top fashion designer has a serious accident, raising questions on whether the incidents are linked.",15-03-2020
s2812,Movie,digs & discoveries: all track's lead to rome,joey so,"joseph may, anna francolini, antonio magro, montserrat lombard, flaminia cinque, keith wickham",none,2020-03-15,2019,tv-y,23m,children & family movies,"After being introduced to Italy's ancient history, Thomas sets out to prove his expertise until his curiosity lands him in trouble in an old mine.",15-03-2020
s2813,Movie,digs & discoveries: mines of mystery,joey so,"joseph may, flaminia cinque, anna francolini, teresa gallagher, montserrat lombard, antonio magro, vincenzo nicoli",none,2020-03-15,2019,tv-y,23m,children & family movies,"Amidst Italy's ancient sites and hidden treasures, Thomas is inspired to make his own special discovery, sending him on a journey to find a lost legend.",15-03-2020
s2814,TV Show,ken burns presents: college behind bars: a film by lynn novick and produced by sarah botstein,lynn novick,none,usa,2020-03-15,2019,tv-ma,1 Season,docuseries,"This docuseries follows several incarcerated people as they pursue a college degree through the Bard Prison Initiative, a rigorous education program.",15-03-2020
s2815,Movie,steam team to the rescue,joey so,"joseph may, keith wickham, yvonne grundy, jules de jongh, rachael louise miller, rob rackstraw, christopher ragland, kerry shale, teresa gallagher, bob golding",none,2020-03-15,2019,tv-y,23m,children & family movies,Thomas and the steam trains spring into action when Porter and the diesel engines run into a series of accidents that throw their deliveries off track.,15-03-2020
s2816,Movie,jai mummy di,navjot gulati,"poonam dhillon, supriya pathak, sunny singh, sonalli sehgall, rajendra sethi, veer rajwant singh, danish husain, alok nath",india,2020-03-14,2020,tv-ma,1h 41m,"comedies, international movies, romantic movies","Sick of keeping their love a secret from their constantly bickering mothers, a young couple seeks to uncover the cause of the women’s longstanding war.",14-03-2020
s2817,TV Show,100 humans,none,"zainab johnson, sammy obeid, alie ward",usa,2020-03-13,2020,tv-14,1 Season,"docuseries, science & nature tv","One hundred hardy souls from diverse backgrounds participate in playful experiments exploring age, sex, happiness and other aspects of being human.",13-03-2020
s2818,Movie,baby mamas,stephanie zwane,"salamina mosese, kay smith, thembisa mdoda, dineo ranaka, sthembiso khoza, khaya mthembu, jonathan boynton-lee, nicholas nkuna, donovan pietersen, pamela nomvete",south africa,2020-03-13,2018,tv-14,1h 38m,"comedies, dramas, international movies","From surprise news to relationship blues, four coworkers in different stages of motherhood unite to support each other in their struggles with men.",13-03-2020
s2819,TV Show,bloodride,none,"ine marie wilmann, bjørnar teigen, emma spetalen magnusson, erlend rødal vikhagen, benjamin helstad, harald rosenstrøm, dagny backer johnsen, stig amdam, numa edema norderhaug, ellen bendu, torfinn nag",norway,2020-03-13,2020,tv-ma,1 Season,"international tv shows, tv horror, tv mysteries","The doomed passengers aboard a spectral bus head toward a gruesome, unknown destination in this deliciously macabre horror anthology series.",13-03-2020
s2820,Movie,go karts,owen trevor,"william lodder, anastasia bampos, darius amarfio-jefferson, richard roxburgh, frances o'connor, dan wyllie, cooper van grootel, damian de montemas, adam t. perkins",australia,2020-03-13,2020,tv-pg,1h 43m,"children & family movies, dramas","A fearless teen leans into the rush of high-speed go-kart racing, backed by good friends — and a surly ex-driver who becomes his coach.",13-03-2020
s2821,Movie,justine,stephanie turner,"stephanie turner, glynn turman, daisy prescott, darby stanchfield, josh stamberg, bridget kallal, ravi cabot-conyers, cleo king, melanie hutsell",usa,2020-03-13,2019,tv-ma,1h 46m,"dramas, independent movies","A widowed, single mom takes a job caring for a young girl with spina bifida, and the two discover they have more in common than they realized.",13-03-2020
s2822,TV Show,kingdom,kim seong-hun,"ju ji-hoon, ryu seung-ryong, bae doona, kim sang-ho, kim sung-kyu, jeon seok-ho, kim hye-jun, heo jun-ho, jung suk-won, kim jong-soo","south korea, usa",2020-03-13,2020,tv-ma,2 Seasons,"international tv shows, korean tv shows, tv action & adventure","While strange rumors about their ill king grip a kingdom, the crown prince becomes their only hope against a mysterious plague overtaking the land.",13-03-2020
s2823,Movie,lost girls,liz garbus,"amy ryan, gabriel byrne, thomasin mckenzie, lola kirke, oona laurence, dean winters, miriam shor, reed birney, kevin corrigan, stan carp",usa,2020-03-13,2020,r,1h 35m,dramas,"Desperate to find her missing daughter, a mother fights to uncover the truth — and helps expose a string of unsolved murders. Based on a true story.",13-03-2020
s2824,Movie,miracle in cell no. 7,mehmet ada öztekin,"aras bulut i̇ynemli, nisa sofiya aksongur, deniz baysal, celile toyon uysal, i̇lker aksum, mesut akusta",turkey,2020-03-13,2019,tv-14,2h 12m,"dramas, international movies","Separated from his daughter, a father with an intellectual disability must prove his innocence when he is jailed for the death of a commander's child.",13-03-2020
s2825,TV Show,the valhalla murders,none,"nína dögg filippusdóttir, björn thors, bergur ebbi, aldís amah hamilton, sigurður skúlason, tinna hrafnsdóttir, arndís hrönn egilsdóttir, edda björgvinsdóttir, valur freyr einarsson, damon younger",iceland,2020-03-13,2020,tv-ma,1 Season,"crime tv shows, international tv shows, tv dramas",An Oslo detective with a painful past returns to his native Iceland to help a dedicated cop hunt a serial killer with a link to a mysterious photo.,13-03-2020
s2826,TV Show,dirty money,none,none,usa,2020-03-11,2020,tv-ma,2 Seasons,"crime tv shows, docuseries","From crippling payday loans to cars that cheat emissions tests, this investigative series exposes brazen acts of corporate greed and corruption.",11-03-2020
s2827,TV Show,on my block,none,"sierra capri, jason genao, brett gray, diego tinoco, julio macias, jessica marie garcia, ronni hawk, peggy ann blow, paula garcés, danny ramirez",usa,2020-03-11,2020,tv-14,3 Seasons,"romantic tv shows, tv comedies, tv dramas","In a rough inner-city Los Angeles neighborhood, four smart, funny and streetwise teens find their lifelong friendship tested as they begin high school.",11-03-2020
s2828,TV Show,the circle brazil,none,giovanna ewbank,"brazil, uk",2020-03-11,2020,tv-ma,1 Season,"international tv shows, reality tv","Be yourself or someone else? In this fun reality competition, online players try their best to flirt, bond and catfish their way to a R$300,000 prize.",11-03-2020
s2829,Movie,carmen sandiego: to steal or not to steal,jos humphrey,"gina rodriguez, finn wolfhard, abby trott, michael hawley, liam o'brien, mary elizabeth mcglynn, toks olagundoye, sharon muthu","canada, usa",2020-03-10,2020,tv-y7,1h 22m,children & family movies,"You drive the action in this interactive adventure, helping Carmen save Ivy and Zack when V.I.L.E. captures them during a heist in Shanghai.",10-03-2020
s2830,Movie,marc maron: end times fun,lynn shelton,marc maron,usa,2020-03-10,2020,tv-ma,1h 11m,stand-up comedy,"Marc Maron wades through a swamp of vitamin hustlers, evangelicals and grown male nerd children, culminating in a gleefully filthy end-times fantasy.",10-03-2020
s2831,Movie,sitara: let girls dream,sharmeen obaid-chinoy,none,"pakistan, usa",2020-03-08,2020,tv-pg,16m,"children & family movies, dramas","In this silent short set in 1970s Pakistan, 14-year-old Pari longs to be a pilot, unaware that her father plans to marry her off to a much older man.",08-03-2020
s2832,Movie,alakada reloaded,toyin abraham,"kehinde bankole, lilian esoro, bolaji amusan, toyin abraham, gabriel afolayan, bidemi kosoko, wumi toriola, tayo amokade, helen paul, liz dasilva",none,2020-03-06,2017,tv-ma,1h 44m,"comedies, international movies","To cope with her feelings of inferiority, a woman from an impoverished family tells tall tales of her wealth and influence to upgrade her social status.",06-03-2020
s2833,Movie,all about love,adze ugah,"chris attoh, katlego danke, enyinna nwigwe, nomzamo mbatha, richard lukunku, zenande mfenyane, leroy gopal, angela sithole",south africa,2020-03-06,2017,tv-ma,1h 19m,"dramas, international movies, romantic movies",An inseparable couple struggles to stay together when betrayal threatens to tear their lives apart.,06-03-2020
s2834,Movie,guilty,ruchi narain,"kiara advani, akansha ranjan kapoor, gurfateh pirzada, taher shabbir, niki walia, manu rishi chadha, dalip tahil, kunal vijaykar",india,2020-03-06,2020,tv-ma,2h,"dramas, international movies","When a college heartthrob is accused of rape by a less popular student, his girlfriend navigates various versions of the story in search of the truth.",06-03-2020
s2835,Movie,i am jonas,christophe charrier,"félix maritaud, nicolas bauwens, tommy lee baïk, aure atika, marie denarnaud, ilian bergala, pierre cartonnet, marcel bouzige, nicolas sartous",france,2020-03-06,2019,tv-ma,1h 22m,"dramas, independent movies, international movies","A turbulent past haunts Jonas, who recalls his teenage love affair with the impulsive, twisted and yet irresistible Nathan.",06-03-2020
s2836,Movie,miles davis: birth of the cool,stanley nelson,"miles davis, carl lumbly",usa,2020-03-06,2019,tv-ma,1h 55m,"documentaries, music & musicals",Unpack the mythology of Miles Davis and learn the true story of a jazz legend with never-before-seen footage and celebrity interviews.,06-03-2020
s2837,Movie,spenser confidential,peter berg,"mark wahlberg, winston duke, alan arkin, bokeem woodbine, iliza shlesinger, hope olaide wilson, marc maron",usa,2020-03-06,2020,r,1h 51m,"action & adventure, comedies","Spenser, an ex-cop and ex-con, teams up with aspiring fighter Hawk to uncover a sinister conspiracy tied to the deaths of two Boston police officers.",06-03-2020
s2838,Movie,twin murders: the silence of the white city,daniel calparsoro,"belén rueda, javier rey, aura garrido, manolo solo, alex brendemühl, ramón barea, sergio dorado, allende blanco, rubén ochandiano",spain,2020-03-06,2020,tv-ma,1h 50m,"international movies, thrillers",A detective returns to Vitoria-Gasteiz to solve murders mimicking those allegedly committed by a serial killer who's about to be released from prison.,06-03-2020
s2839,TV Show,ugly delicious,none,"david chang, peter meehan",usa,2020-03-06,2020,tv-ma,2 Seasons,docuseries,"All the flavor. None of the BS. Star chef David Chang leads friends on a mouthwatering, cross-cultural hunt for the world's most satisfying grub.",06-03-2020
s2840,Movie,93d,steve gukas,"bimbo akintola, somkele iyamah, danny glover, gideon okeke, seun kentebe, keppy ekpenyong, zara udofia ejoh, bimbo manuel, patrick diabuah, tina mba, alastair mackenzie, tim reid",nigeria,2020-03-05,2016,tv-pg,2h 1m,"dramas, international movies, thrillers",Heroic health workers fight to contain an Ebola outbreak when a patient arrives in Lagos with symptoms of the deadly virus. Based on a true story.,05-03-2020
s2841,Movie,angu vaikuntapurathu (malayalam),trivikram srinivas,"allu arjun, pooja hegde, tabu, sushanth, nivetha pethuraj, jayaram, murli sharma",none,2020-03-05,2020,tv-14,2h 42m,"action & adventure, comedies, dramas","After growing up enduring criticism from his father, a young man finds his world shaken upon learning he was switched at birth with a millionaire’s son.",05-03-2020
s2842,TV Show,mighty little bheem: festival of colors,none,"samruddhi shukla, aranya kaur, rajesh kava, nishka raheja, sabina malik, shanoor mirza",india,2020-03-05,2020,tv-y,1 Season,"kids' tv, tv comedies","From surprising stage performances to spraying colors with friends, join baby Bheem for all his Holi hijinks during the special spring festival.",05-03-2020
s2843,Movie,tootsies & the fake,kittiphak thonguam,"araya a. hargate, paopetch charoensook, thongkanthom thongchai, ratthanant janyajirawong, pattarasaya kreuasuwansri, gunn svasti na ayudhya, kritsanapoom pibulsonggram, keetapat pongruea",thailand,2020-03-05,2019,tv-ma,1h 48m,"comedies, international movies, lgbtq movies","After knocking a celebrity unconscious before a huge job, a bumbling pack of pals tries to avoid a lawsuit by replacing her with a look-alike.",05-03-2020
